model,chunk,epoch,loss,accuracy
4,0,30,0.006028956604003906,0.412
4,0,31,0.006032261848449707,0.4118
4,0,32,0.006034396052360534,0.4123
4,0,33,0.006037994599342346,0.4123
4,0,34,0.006039902234077453,0.4123
4,0,35,0.006040262699127197,0.4122
4,0,36,0.0060437562942504885,0.4127
4,0,37,0.006044549798965454,0.4127
4,0,38,0.006049825501441956,0.4135
4,0,39,0.00605243079662323,0.4136
4,0,40,0.006055695223808289,0.4133
4,0,41,0.006061718845367431,0.4132
4,0,42,0.006062992715835571,0.4144
4,0,43,0.0060640090703964235,0.4142
4,0,44,0.006067760252952576,0.414
4,0,45,0.006068747520446777,0.4145
4,0,46,0.006072447562217712,0.4136
4,0,47,0.006075043034553528,0.4141
4,0,48,0.006075079393386841,0.4148
4,0,49,0.00607654058933258,0.4146
0,1,0,0.004258673810958863,0.2453
0,1,1,0.003866373872756958,0.2989
0,1,2,0.004027179598808288,0.3211
0,1,3,0.004231511056423188,0.3767
0,1,4,0.004544875073432922,0.4043
0,1,5,0.0051113412141799925,0.4309
0,1,6,0.00536504499912262,0.4338
0,1,7,0.005351228857040405,0.4286
0,1,8,0.005849249291419983,0.4315
0,1,9,0.006026922512054444,0.4211
0,1,10,0.006392683863639831,0.4061
0,1,11,0.006244762372970581,0.4083
0,1,12,0.005700552296638489,0.4343
0,1,13,0.006010976886749267,0.4352
0,1,14,0.005971238970756531,0.4453
0,1,15,0.006299435305595398,0.4192
0,1,16,0.006180229902267456,0.4494
0,1,17,0.006257144975662232,0.4363
0,1,18,0.006197904181480408,0.4584
0,1,19,0.0060995866060256955,0.4489
0,1,20,0.006256444549560547,0.4595
0,1,21,0.006232077479362488,0.454
0,1,22,0.006181603240966797,0.4648
0,1,23,0.005996751761436462,0.4674
0,1,24,0.006245479607582092,0.4596
0,1,25,0.006293939375877381,0.4643
0,1,26,0.006426916360855102,0.4656
0,1,27,0.006323067331314087,0.4721
0,1,28,0.0066379631519317625,0.4682
0,1,29,0.006542445707321167,0.4744
0,1,30,0.0071020936012268065,0.4481
0,1,31,0.006953584814071655,0.4456
0,1,32,0.006747043442726136,0.4592
0,1,33,0.007131932377815247,0.4276
0,1,34,0.006802956318855286,0.4438
0,1,35,0.006757284665107727,0.4543
0,1,36,0.006987069272994995,0.419
0,1,37,0.007151547741889953,0.4408
0,1,38,0.007772958517074585,0.422
0,1,39,0.007064478468894958,0.4421
0,1,40,0.00660250117778778,0.439
0,1,41,0.0069267193078994755,0.4413
0,1,42,0.006376943445205689,0.4595
0,1,43,0.006679432916641235,0.4639
0,1,44,0.0070101166486740115,0.4587
0,1,45,0.006759984588623047,0.4624
0,1,46,0.006437397313117981,0.4653
0,1,47,0.006462232780456543,0.4673
0,1,48,0.006408995699882508,0.4661
0,1,49,0.00630078866481781,0.482
1,1,0,0.02384023666381836,0.1332
1,1,1,0.006004864239692688,0.299
1,1,2,0.0035181477069854738,0.4378
1,1,3,0.0035294735670089723,0.4405
1,1,4,0.003672467005252838,0.4625
1,1,5,0.004157900881767273,0.4439
1,1,6,0.004565809273719788,0.4649
1,1,7,0.0047126641988754275,0.4726
1,1,8,0.004926624488830566,0.4725
1,1,9,0.0051017250776290895,0.4759
1,1,10,0.005308623909950256,0.4764
1,1,11,0.005413539719581604,0.4728
1,1,12,0.0060152339220047,0.4505
1,1,13,0.005619968485832214,0.4672
1,1,14,0.00570739951133728,0.4648
1,1,15,0.0058165452718734745,0.4456
1,1,16,0.006037185907363892,0.4436
1,1,17,0.007297937059402466,0.3931
1,1,18,0.005973472666740418,0.4342
1,1,19,0.007844935059547425,0.3664
1,1,20,0.005734796214103699,0.4435
1,1,21,0.006001516437530517,0.4514
1,1,22,0.005644480895996094,0.4688
1,1,23,0.005421571397781372,0.4691
1,1,24,0.005364090251922607,0.4849
1,1,25,0.0055191997766494754,0.4754
1,1,26,0.005660682773590088,0.4842
1,1,27,0.005642807483673096,0.4894
1,1,28,0.005591204333305359,0.4896
1,1,29,0.005674412894248962,0.4935
1,1,30,0.005655374717712402,0.4958
1,1,31,0.0056664097785949705,0.4958
1,1,32,0.0056593225240707395,0.4957
1,1,33,0.005655433583259583,0.4963
1,1,34,0.005651440191268921,0.4973
1,1,35,0.00564493248462677,0.4979
1,1,36,0.005649802160263061,0.4989
1,1,37,0.005648603510856628,0.4992
1,1,38,0.005649354314804077,0.4991
1,1,39,0.005651099419593811,0.4996
1,1,40,0.005655445051193237,0.4992
1,1,41,0.00566376314163208,0.4998
1,1,42,0.005666230249404907,0.4996
1,1,43,0.005671557641029358,0.4994
1,1,44,0.00567432267665863,0.4995
1,1,45,0.005682419180870056,0.4999
1,1,46,0.005685788321495056,0.4996
1,1,47,0.005687914156913758,0.5003
1,1,48,0.005694703841209412,0.5004
1,1,49,0.005700019931793213,0.5001
2,1,0,0.009493181180953979,0.2362
2,1,1,0.003910135626792908,0.3908
2,1,2,0.0034461495876312257,0.4499
2,1,3,0.0035740371108055114,0.4335
2,1,4,0.0038860756039619444,0.4368
2,1,5,0.004207906126976013,0.4412
2,1,6,0.004626995182037353,0.448
2,1,7,0.005050443840026855,0.4485
2,1,8,0.005286705803871155,0.4478
2,1,9,0.005707402610778809,0.4576
2,1,10,0.005731106400489807,0.4449
2,1,11,0.006213321971893311,0.426
2,1,12,0.007054721713066101,0.3758
2,1,13,0.006101245236396789,0.4216
2,1,14,0.00583359272480011,0.4277
2,1,15,0.0058673719882965086,0.4349
2,1,16,0.0059916201114654545,0.4454
2,1,17,0.006070747232437133,0.4299
2,1,18,0.006609177899360657,0.4122
2,1,19,0.005841234278678894,0.4532
2,1,20,0.005853913831710815,0.4584
2,1,21,0.005969918394088745,0.4661
2,1,22,0.0061768435955047605,0.4549
2,1,23,0.005936805152893066,0.4661
2,1,24,0.0059628702402114864,0.477
2,1,25,0.006159610104560852,0.4636
2,1,26,0.00608471302986145,0.4717
2,1,27,0.006011691951751709,0.4759
2,1,28,0.005993558144569397,0.4781
2,1,29,0.005981844663619995,0.4768
2,1,30,0.005980665397644043,0.4789
2,1,31,0.005992383551597595,0.4784
2,1,32,0.0059927536487579345,0.479
2,1,33,0.0059993922710418705,0.4793
2,1,34,0.005998259973526001,0.4806
2,1,35,0.0060094808101654055,0.4819
2,1,36,0.00601413140296936,0.4818
2,1,37,0.006017451763153076,0.4821
2,1,38,0.006025700736045837,0.4827
2,1,39,0.006029239177703857,0.4821
2,1,40,0.006039541935920716,0.4821
2,1,41,0.00604328441619873,0.4824
2,1,42,0.0060472664356231685,0.4828
