chunk,n_retrained,loss,accuracy
0,0,0.003657140254974365,0.5141
1,0,0.0032202062726020813,0.5972
2,0,0.002995187795162201,0.6504
3,0,0.0027885364294052122,0.6799
4,0,0.0027734317779541016,0.6903
