chunk,epoch,loss,accuracy
1,0,0.004632000279426575,0.0976
1,1,0.005004982805252075,0.0976
1,2,0.004639643669128418,0.1125
1,3,0.004632486534118652,0.1359
1,4,0.004568891835212707,0.1073
1,5,0.004513343238830567,0.155
1,6,0.004527183055877686,0.1442
1,7,0.00448611319065094,0.1477
1,8,0.004332117652893067,0.1786
1,9,0.0042989740371704105,0.2039
1,10,0.004135533142089844,0.2125
1,11,0.004780048203468322,0.1687
1,12,0.00454152410030365,0.1554
1,13,0.004397510123252868,0.1848
1,14,0.004319647288322449,0.1886
1,15,0.0043863714933395385,0.1879
1,16,0.004760600972175598,0.1111
1,17,0.004574893879890442,0.1168
1,18,0.004442459034919739,0.1744
1,19,0.0042782367944717405,0.1879
1,20,0.004212262606620789,0.1879
1,21,0.0042149222850799565,0.1808
1,22,0.004086573326587677,0.2289
1,23,0.004218152904510498,0.2047
1,24,0.00416355938911438,0.2052
1,25,0.0038906432032585142,0.2653
1,26,0.004199658370018005,0.2587
1,27,0.004873979878425598,0.2056
1,28,0.004135199165344238,0.1894
1,29,0.004044849967956543,0.2054
1,30,0.003953633105754853,0.2557
1,31,0.003976200139522552,0.2778
1,32,0.0040037566781044006,0.2836
1,33,0.008565183544158935,0.164
1,34,0.004593682646751404,0.223
1,35,0.004036474537849426,0.2425
1,36,0.0041635050296783445,0.2386
1,37,0.003986962246894836,0.2432
1,38,0.003922766327857971,0.2715
1,39,0.004115787184238434,0.2768
1,40,0.004208497953414917,0.3005
1,41,0.005227091455459595,0.2655
1,42,0.0046596097230911255,0.2999
1,43,0.004527539968490601,0.2978
1,44,0.004969679522514343,0.2837
1,45,0.005018300986289978,0.3098
1,46,0.005444285345077514,0.3171
1,47,0.00874464292526245,0.219
1,48,0.004664565682411194,0.2168
1,49,0.0041040536761283875,0.2594
2,0,0.004570238208770752,0.1501
2,1,0.0045063767194747925,0.1649
2,2,0.004273609447479248,0.1851
2,3,0.004034357845783234,0.2594
2,4,0.0037275628924369813,0.3071
2,5,0.00394832055568695,0.2668
2,6,0.0036310139656066894,0.3219
2,7,0.0036509458899497984,0.3192
2,8,0.004335887956619263,0.2433
2,9,0.003738077700138092,0.334
2,10,0.00431187994480133,0.3311
2,11,0.003852754056453705,0.3212
2,12,0.004055928587913513,0.3278
2,13,0.0037900378584861754,0.3591
2,14,0.004120240783691406,0.3598
2,15,0.004163420271873474,0.3669
2,16,0.004257662057876587,0.3587
2,17,0.004502861022949218,0.3421
2,18,0.0043073063373565675,0.3663
2,19,0.005009185171127319,0.3537
2,20,0.0046699719905853275,0.3648
2,21,0.005037689399719238,0.3713
2,22,0.005578206038475037,0.371
2,23,0.005700667333602905,0.343
2,24,0.004895829319953918,0.3819
2,25,0.0055565998554229735,0.3628
2,26,0.005518859457969666,0.3685
2,27,0.0054331239461898806,0.3828
2,28,0.0056611315727233885,0.379
2,29,0.006165153622627258,0.3561
2,30,0.0063012590169906615,0.3772
2,31,0.005900611400604248,0.3592
2,32,0.006112917160987854,0.3862
2,33,0.0062835647344589235,0.3582
2,34,0.00616429808139801,0.3716
2,35,0.00620968976020813,0.3875
2,36,0.006639751410484314,0.3789
2,37,0.006934893441200256,0.3838
2,38,0.006512341594696045,0.3885
2,39,0.0061038212299346925,0.3827
2,40,0.006435309720039368,0.3811
2,41,0.006950963401794434,0.3996
2,42,0.006945644378662109,0.3654
2,43,0.007057222986221313,0.3843
2,44,0.007213991546630859,0.3857
2,45,0.006831172132492065,0.3692
2,46,0.006607918357849121,0.3678
2,47,0.006779015707969666,0.3819
2,48,0.0072759820699691774,0.3974
2,49,0.0075685904979705815,0.3971
3,0,0.006104771280288696,0.1616
3,1,0.003805471634864807,0.2784
3,2,0.0036431066989898683,0.3052
3,3,0.0034580033779144288,0.341
3,4,0.0033108082294464112,0.3776
3,5,0.0033392993688583375,0.3913
3,6,0.0033339687466621398,0.4071
3,7,0.0035348849177360537,0.3995
3,8,0.003423634397983551,0.4087
3,9,0.0040194415807724,0.3906
3,10,0.003904568028450012,0.3779
3,11,0.003955216562747955,0.4058
3,12,0.004344855880737305,0.4007
3,13,0.004302221357822419,0.412
3,14,0.00443039288520813,0.4147
3,15,0.004370663094520569,0.4068
3,16,0.004692297029495239,0.3919
3,17,0.004430733561515808,0.3979
3,18,0.005087320685386657,0.4034
3,19,0.0052036355495452885,0.4174
3,20,0.005415182328224182,0.4103
3,21,0.0055781138181686405,0.4197
3,22,0.005123379945755005,0.435
3,23,0.005617429542541504,0.4178
3,24,0.005504906463623047,0.4218
3,25,0.005237856864929199,0.4257
3,26,0.006100077199935913,0.4249
3,27,0.005507315564155579,0.4238
3,28,0.005666063284873963,0.4261
3,29,0.005759242391586304,0.431
3,30,0.006203027820587158,0.4167
3,31,0.005787493133544922,0.4333
3,32,0.0063201899528503415,0.4315
3,33,0.0061983248472213745,0.4359
3,34,0.006585373497009278,0.4223
3,35,0.005670787835121155,0.4201
3,36,0.0058585374355316164,0.4333
3,37,0.006402309584617615,0.4341
3,38,0.006091361355781555,0.4357
3,39,0.0064091591119766235,0.4362
3,40,0.006729103875160217,0.4374
3,41,0.005885261964797973,0.4261
3,42,0.005974218273162842,0.4264
3,43,0.005893766951560974,0.432
3,44,0.006040146207809448,0.4381
3,45,0.006138065218925476,0.4502
3,46,0.007050897526741028,0.4419
3,47,0.006969625949859619,0.4326
3,48,0.006403392195701599,0.4435
3,49,0.006448587799072265,0.4453
4,0,0.003301531732082367,0.4307
4,1,0.003238124942779541,0.4247
4,2,0.0030085416197776793,0.4786
4,3,0.00310104238986969,0.48
4,4,0.0034146073102951048,0.4812
4,5,0.003673597013950348,0.4716
4,6,0.0036778180956840516,0.4772
4,7,0.003967196822166443,0.4678
4,8,0.00402298401594162,0.4738
4,9,0.004123044228553772,0.4653
4,10,0.0037539608359336853,0.4878
4,11,0.004464531540870667,0.4798
4,12,0.004524160814285278,0.4762
4,13,0.004851645684242249,0.462
4,14,0.004862314867973327,0.4788
4,15,0.0049050911903381345,0.4972
4,16,0.005270100235939026,0.4896
4,17,0.0052763592004776,0.4909
4,18,0.00486482048034668,0.4905
4,19,0.004995211315155029,0.4755
4,20,0.0052933211088180545,0.4945
4,21,0.005483672571182251,0.4874
4,22,0.005329450488090515,0.4856
4,23,0.00592257080078125,0.4873
4,24,0.006237471675872803,0.4902
4,25,0.005689246606826783,0.491
4,26,0.005386072659492492,0.4858
4,27,0.00601600489616394,0.4915
4,28,0.006079487514495849,0.4944
4,29,0.005807649183273316,0.5
4,30,0.006224529099464416,0.4647
4,31,0.005351615476608276,0.4911
4,32,0.00605656795501709,0.4844
